,id,academy_id,school_type,grade,status
261783,I381439,D13334,3,3,0
261784,I38144,D1949,3,3,2
261785,I381440,D13334,3,3,0
261789,I381444,D13334,3,3,0
261790,I381445,D13334,3,3,0
261791,I381446,D13334,3,3,0
261795,I38145,D1949,3,3,2
261806,I38146,D2106,3,3,1
261828,I38148,D1303,3,3,2
261839,I38149,D1971,3,3,1
261850,I3815,D0251,3,3,2
261851,I38150,D0360,3,3,1
261862,I38151,D2106,3,3,1
261889,I381534,D13480,3,3,0
261890,I381535,D13480,3,3,0
261891,I381536,D13480,3,3,0
261892,I381537,D13480,3,3,0
261893,I381538,D13480,3,3,0
261894,I381539,D13480,3,3,0
261896,I381540,D13480,3,3,0
261897,I381541,D13480,3,3,0
261898,I381542,D13480,3,3,0
261899,I381543,D13480,3,3,0
261900,I381544,D13480,3,3,0
261901,I381545,D13480,3,3,0
261902,I381546,D13480,3,3,0
261903,I381547,D13480,3,3,0
261904,I381548,D13480,3,3,0
261905,I381549,D13480,3,3,0
261907,I381550,D13480,3,3,0
261908,I381551,D13480,3,3,0
261909,I381552,D13480,3,3,0
261910,I381553,D13480,3,3,0
261911,I381554,D13480,3,3,0
261912,I381555,D13480,3,3,0
261913,I381556,D13480,3,3,0
261914,I381557,D13480,3,3,0
261915,I381558,D13480,3,3,0
261916,I381559,D13480,3,3,0
261917,I38156,D0022,3,3,1
261918,I381560,D13480,3,3,0
261919,I381561,D13480,3,3,0
261920,I381562,D13480,3,3,0
261921,I381563,D13480,3,3,0
261922,I381564,D13480,3,3,0
261923,I381565,D13480,3,3,0
261924,I381566,D13480,3,3,0
261925,I381567,D13480,3,3,0
261926,I381568,D13480,3,3,0
261927,I381569,D13480,3,3,0
261928,I38157,D0230,3,3,2
261929,I381570,D13480,3,3,0
261930,I381571,D13480,3,3,0
261931,I381572,D13480,3,3,0
261932,I381573,D13480,3,3,0
261933,I381574,D13480,3,3,0
261934,I381575,D13480,3,3,0
261935,I381576,D13480,3,3,0
261936,I381577,D13480,3,3,0
261937,I381578,D13480,3,3,0
261938,I381579,D13480,3,3,0
261939,I38158,D1892,3,3,1
261940,I381580,D13480,3,3,0
261941,I381581,D13480,3,3,0
261942,I381582,D13480,3,3,0
261943,I381583,D13480,3,3,0
261944,I381584,D13480,3,3,0
261945,I381585,D13480,3,3,0
261946,I381586,D13480,3,3,0
261947,I381587,D13480,3,3,0
261948,I381588,D13480,3,3,0
261949,I381589,D13480,3,3,0
261950,I38159,D1164,3,3,2
261951,I381590,D13480,3,3,0
261952,I381591,D13480,3,3,0
261953,I381592,D13480,3,3,0
261954,I381593,D13480,3,3,0
261955,I381594,D13480,3,3,0
261956,I381595,D13480,3,3,0
261957,I381596,D13480,3,3,0
261958,I381597,D13480,3,3,0
261959,I381598,D13480,3,3,0
261960,I381599,D13480,3,3,0
261961,I3816,D0033,3,3,2
261963,I381600,D13480,3,3,0
261964,I381601,D13480,3,3,0
261965,I381602,D13480,3,3,0
261966,I381603,D13480,3,3,0
261967,I381604,D13480,3,3,0
261968,I381605,D13480,3,3,0
261969,I381606,D13480,3,3,0
261970,I381607,D13480,3,3,0
261971,I381608,D13480,3,3,0
261972,I381609,D13480,3,3,0
261973,I38161,D1692,3,3,2
261974,I381610,D13480,3,3,0
261975,I381611,D13480,3,3,0
261976,I381612,D13480,3,3,0
261977,I381613,D13480,3,3,0
261978,I381614,D13480,3,3,0
261979,I381615,D13480,3,3,0
261980,I381616,D13480,3,3,0
261981,I381617,D13480,3,3,0
261982,I381618,D13480,3,3,0
261983,I381619,D13480,3,3,0
261984,I38162,D1692,3,3,2
261985,I381620,D13480,3,3,0
261986,I381621,D13480,3,3,0
261987,I381622,D13480,3,3,0
261988,I381623,D13480,3,3,0
261989,I381624,D13480,3,3,0
261990,I381625,D13480,3,3,0
261991,I381626,D13480,3,3,0
261992,I381627,D13480,3,3,0
261993,I381628,D13480,3,3,0
261994,I381629,D13480,3,3,0
261996,I381630,D13480,3,3,0
262006,I38164,D1763,3,3,0
262017,I38165,D1763,3,3,1
262028,I38166,D0546,3,3,2
262039,I38167,D0334,3,3,0
262050,I38168,D1857,3,3,2
262061,I38169,D1917,3,3,2
262072,I3817,D0033,3,3,2
262073,I38170,D1917,3,3,2
262084,I38171,D1917,3,3,2
262095,I38172,D2113,3,3,0
262183,I3818,D0118,3,3,1
262217,I38183,D1895,3,3,0
262228,I38184,D1949,3,3,2
262239,I38185,D2091,3,3,0
262250,I38186,D2119,3,3,2
262261,I38187,D2091,3,3,0
262272,I38188,D2091,3,3,0
262283,I38189,D2091,3,3,1
262294,I3819,D0060,3,3,1
262295,I38190,D0334,3,3,0
262306,I38191,D2091,3,3,0
262317,I38192,D2106,3,3,1
262328,I38193,D2106,3,3,1
262339,I38194,D2106,3,3,1
262350,I38195,D2106,3,3,1
262361,I38196,D0334,3,3,0
262394,I38199,D2111,3,3,1
262405,I382,D0028,3,3,1
262406,I3820,D0242,3,3,1
262407,I38200,D2111,3,3,1
262423,I382014,D13463,3,3,0
262424,I382015,D13463,3,3,0
262427,I382018,D13320,3,3,0
262428,I382019,D13320,3,3,0
262431,I382021,D13463,3,3,0
